site,date,soil_resp,soil_resp_err,classification
STEI,2017-08-28T00:00:00Z,8.808058956718595,6.81248236999428,ww
STEI,2017-08-29T00:00:00Z,8.860257899525868,6.609378146489226,ww
STEI,2017-08-30T00:00:00Z,8.622912359384337,6.497336692799777,ww
STEI,2017-08-31T00:00:00Z,8.189519751824317,6.185649323079366,ww
STEI,2017-09-01T00:00:00Z,7.770192193010466,6.060949779535647,ww
STEI,2017-09-02T00:00:00Z,7.435679600831656,5.593145206882062,ww
STEI,2017-09-03T00:00:00Z,8.286239175145345,6.474293210626822,ww
STEI,2017-09-04T00:00:00Z,8.65100759617086,6.582296839872528,ww
STEI,2017-09-05T00:00:00Z,8.25683030616137,6.182345279994254,ww
STEI,2017-09-06T00:00:00Z,7.638163413049133,5.8402282615624985,ww
STEI,2017-09-07T00:00:00Z,7.881430324844399,5.845323010218918,ww
STEI,2017-09-08T00:00:00Z,7.945479505759518,5.91245893558792,ww
STEI,2017-09-09T00:00:00Z,7.537919252205456,5.633242838757349,ww
STEI,2017-09-10T00:00:00Z,7.560575803907617,5.764598899189966,ww
STEI,2017-09-11T00:00:00Z,7.650533979768146,5.911708312944566,ww
STEI,2017-09-12T00:00:00Z,7.6130210765105275,5.678273057694512,ww
STEI,2017-09-13T00:00:00Z,7.52401605547957,5.739986628953531,ww
STEI,2017-09-14T00:00:00Z,7.47149431436513,7.372331647197439,ww
STEI,2017-09-15T00:00:00Z,7.521113962972553,7.421292735100267,ww
STEI,2017-09-16T00:00:00Z,7.787538822639288,6.863103057376226,ww
STEI,2017-09-17T00:00:00Z,8.429597541984736,5.825336185413047,ww
STEI,2017-09-18T00:00:00Z,7.696780720080217,5.502117401039965,ww
STEI,2017-09-19T00:00:00Z,6.960928105924529,5.1631790835853035,ww
STEI,2017-09-20T00:00:00Z,7.000115307106251,4.801672078954179,ww
STEI,2017-09-21T00:00:00Z,7.818632238810306,4.468266306976803,ww
STEI,2017-09-22T00:00:00Z,8.019591652464817,5.380168607637868,ww
STEI,2017-09-23T00:00:00Z,8.20871386495336,5.5058210187315995,ww
STEI,2017-09-24T00:00:00Z,8.251798075048967,6.62408795046235,ww
STEI,2017-09-25T00:00:00Z,7.996613891451619,6.719986132790362,ww
STEI,2017-09-26T00:00:00Z,7.6850810912893435,5.4084749744297484,ww
STEI,2017-09-27T00:00:00Z,6.967429981216643,4.294420133668756,ww
STEI,2017-09-28T00:00:00Z,5.932159450383585,4.064509726847353,ww
STEI,2017-09-29T00:00:00Z,5.518316716106552,3.847590901756562,ww
STEI,2017-09-30T00:00:00Z,5.089557934338438,3.8144217464385926,ww
STEI,2017-10-01T00:00:00Z,4.5946292372638595,3.157264281873884,ww
STEI,2017-10-02T00:00:00Z,4.548948955892337,4.201827138278181,ww
STEI,2017-10-03T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-04T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-05T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-06T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-07T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-08T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-09T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-10T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-11T00:00:00Z,4.613767286226118,6.4766652618843805,ww
STEI,2017-10-12T00:00:00Z,5.53473457431029,4.049975533239964,ww
STEI,2017-10-13T00:00:00Z,5.515466505190474,4.248281662733584,ww
STEI,2017-10-14T00:00:00Z,5.310952370263533,4.102158791556859,ww
STEI,2017-10-15T00:00:00Z,4.9027827800217425,3.6633742774795026,ww
STEI,2017-10-16T00:00:00Z,5.190205748137616,3.379105078134655,ww
STEI,2017-10-17T00:00:00Z,4.905480536785927,3.3653675823925546,ww
STEI,2017-10-18T00:00:00Z,4.8280634152463096,3.112041413078048,ww
STEI,2017-10-19T00:00:00Z,4.888669188101405,3.349484139795294,ww
STEI,2017-10-20T00:00:00Z,4.715565620106544,3.192262584409734,ww
STEI,2017-10-21T00:00:00Z,4.839594381656923,3.4738524946126947,ww
STEI,2017-10-22T00:00:00Z,5.18890000876884,3.8728325810579975,ww
